vgg11,vgg16,resnet18,resnet34,resnet50
0.0,7.3,16.6,25.6,20.1
vgg11,vgg16,resnet18,resnet34,resnet50
0.0,7.3,16.6,25.6,20.1
vgg11,vgg16,resnet18,resnet34,resnet50
99.9,56.4,58.4,65.1,62.5
